字詞		中文釋義		考題
a		[冠詞] 一個;一種		548
a few		[片語] 一些		16
a little		[片語] 一點點		24
a lot		[片語] 很多		76
A.M.		[副詞] 上午		17
able		[形容詞] 能;有能力的		16
about		[副詞] 在四周;在附近;大約; [介系詞] 大約;關於		230
above		[形容詞] 上文的,前述的; [副詞] 在上面;在上文;更高; [介系詞] 在…之上		4
abroad		[副詞] 在國外		4
across		[副詞] 橫過;寬;在對面;向對面; [介系詞] 橫越;穿過		5
act		[動詞] 扮演; [名詞] 行動,法案		3
action		[名詞] 動作		7
actor		[名詞] 男演員		5
actress		[名詞] 女演員		2
afraid		[形容詞] 害怕		28
after		[副詞] 以後,之後;在後面,隨後; [介系詞] 在…之後; [連接詞] 在...之後		114
afternoon		[名詞] 下午;午後		28
again		[副詞] 再一次		41
age		[動詞] 使變老;使(酒之)味道變醇;使成熟; [名詞] 年齡		15
ago		[副詞] 以前		38
agree		[動詞] 同意		8
ahead		[副詞] 在前;向前;預先;事前		3
air		[名詞] 空氣		11
airplane		[名詞] 飛機		4
airport		[名詞] 飛機場		7
all		[形容詞] 所有的;全部; [副詞] 完全地;(比分等)雙方相等; [名詞] 全體,一切;全部財產; [代名詞] 一切		139
allow		[動詞] 允許		4
almost		[副詞] 幾乎		28
along		[副詞] 向前;一起;帶著;來到;去到; [介系詞] 沿著		17
already		[副詞] 已經		33
also		[副詞] 也		75
although		[連接詞] 雖然		14
always		[副詞] 總是		74
am		[動詞] 是,在; be 動詞第一人稱,單數,現在式		265
America		[名詞] 美國;美洲		10
American		[形容詞] 美國的;美洲的; [名詞] 美國人		16
an		[冠詞] 一個;一種		97
and		[連接詞] 和；及；而；就		483
angle		[名詞] 角,邊角；角度；觀點,立場		
angry		[形容詞] 生氣的		20
animal		[名詞] 動物		31
another		[形容詞] 另一個; [代名詞] 另一個		40
answer		[動詞] 回答; [名詞] 答案		81
ant		[名詞] 螞蟻		1
any		[形容詞] 任何的; [副詞] (用於疑問句,否定句,if子句中)少許,稍微; [代名詞] 任何一個		81
anybody		[代名詞] 任何人		
anyone		[代名詞] 任何人		18
anything		[代名詞] 任何事物		34
apartment		[名詞] 公寓		14
appear		[動詞] 出現		12
apple		[名詞] 蘋果		8
April		[名詞] 四月		7
are		[動詞] 是,在; be 動詞第一、第三人稱, 複數, 現在式; 第二人稱，單、複數, 現在式		351
area		[名詞] 地區;面積		2
aren't		[縮短形] are not		7
arm		[動詞] 用武器裝備;提供,配備; 武裝起來; [名詞] 手臂;（衣服）袖子；（椅子的）扶手，靠手		5
around		[副詞] 到處,四處;周圍,附近;環繞;大約; [介系詞] 差不多;環繞		38
arrive		[動詞] 到達		16
art		[名詞] 藝術		18
as		[副詞] 跟...一樣地,同樣地;如同;例如; [介系詞] 以…的身份；作為; [連接詞] 依照;當...時; [代名詞] 與...相同的事物(或人);本情況,該事實		75
ask		[動詞] 問		86
at		[介系詞] 在		295
attack		[動詞] 進攻;襲擊; [名詞] 攻擊		4
August		[名詞] 八月		8
aunt		[名詞] 姨媽;姑媽		7
autumn		[名詞] 秋天;秋季		3
away		[形容詞] 不在的; [副詞] 離開		55
baby		[名詞] 嬰兒		20
back		[形容詞] 後面的;拖欠的;過去的; [動詞] 向後;追溯;回覆;贊助; [副詞] 回原處; [名詞] 背部;後面		79
bad		[形容詞] 壞的		47
badminton		[名詞] 羽毛球		
bag		[名詞] 袋子		21
bake		[動詞] 烘;烤		6
bakery		[名詞] 麵包店		6
balcony		[名詞] 陽臺		3
banana		[名詞] 香蕉		4
band		[名詞] 樂團;樂隊		4
bank		[動詞] 存(款)於銀行;築堤防護;堆積; [名詞] 銀行;堤;岸		5
baseball		[名詞] 棒球		14
basket		[名詞] 籃子		5
basketball		[名詞] 籃球		19
bat		[動詞] 用球棒擊（球）;眨(眼); [名詞] 球棒;蝙蝠		1
bath		[名詞] 洗澡		14
bathroom		[名詞] 廁所;浴室		5
be		[動詞] 是;要;有;在; [助動詞] 正在...,被…		256
beach		[動詞] 將(船等)拖上岸; [名詞] 海灘		24
bean		[名詞] 豆莢;豆子		1
bear		[動詞] 承受; [名詞] 熊		6
beautiful		[形容詞] 漂亮的		55
because		[連接詞] 因為		126
become		[動詞] 變成		71
bed		[名詞] 床		24
bedroom		[名詞] 臥房		6
bee		[名詞] 蜜蜂		4
beef		[名詞] 牛肉		5
before		[副詞] 較早;以前;曾經;在前;向前; [介系詞] 在…之前; [連接詞] 在...以前;與其...寧可;否則,要不然		104
begin		[動詞] 開始		24
behind		[副詞] 在背後;向背後;遲;落後; [介系詞] 在…後面		15
believe		[動詞] 相信		40
bell		[名詞] 鈴;鐘		1
belong		[動詞] 屬於		6
below		[副詞] 在下面;到下面; [介系詞] 在…之下		24
belt		[動詞] 用皮帶抽打;環繞;猛擊; [名詞] 腰帶		4
bench		[名詞] 長凳;長椅		2
beside		[介系詞] 在...旁側		3
between		[副詞] 在中間;介乎兩者之間; [介系詞] 在…和…之間		26
bicycle		[名詞] 腳踏車		13
big		[形容詞] 大的		55
bike		[動詞] 騎腳踏車; [名詞] 腳踏車		13
bird		[名詞] 鳥		22
birthday		[名詞] 生日		40
bite		[動詞] 咬; [名詞] 咬,叮		9
black		[形容詞] 黑色的; [名詞] 黑色;美國黑人		12
blackboard		[名詞] 黑板		4
blank		[形容詞] 空白的;空的,無內容的;茫然的; [名詞] 空白		
blanket		[動詞] (似)用毯覆蓋;掩蓋; [名詞] 毯子		2
blind		[形容詞] 瞎的; [動詞] 使看不見,使失明;使失去理智		4
block		[動詞] 阻塞; [名詞] 街區		11
blow		[動詞] 吹; [名詞] 吹動,吹氣;強風;吹牛		7
blue		[形容詞] 藍色的; [名詞] 藍色		18
boat		[名詞] 小船		5
body		[名詞] 身體		15
boil		[動詞] (水等)沸騰; [名詞] 沸騰;煮沸		1
book		[動詞] 預訂;預雇;預約;登記; [名詞] 書本		48
bookstore		[名詞] 書店		11
bored		[形容詞] 感到無聊的；感到厭煩的		
boring		[形容詞] 乏味的		12
born		[形容詞] 出生的;誕生的		24
borrow		[動詞] 借		12
boss		[動詞] 指揮;作威作福; [名詞] 老闆		7
both		[形容詞] 兩者; [副詞] 並;又;兩者皆; [代名詞] 兩者(都)		44
bottle		[動詞] 把...裝入瓶中;約束,抑制(感情);隱藏; [名詞] 瓶子		3
bottom		[形容詞] 最低的;最後的,最下的; [動詞] 基於,根據;到達底部;降至最低點; [名詞] 底部;屁股		
bow		[動詞] 鞠躬; [名詞] 弓；鞠躬；蝴蝶結		3
bowl		[名詞] 碗		5
box		[動詞] 把...裝箱(或盒等); [名詞] 箱;盒;匣		15
boy		[名詞] 男孩		29
brave		[形容詞] 勇敢的		1
bread		[名詞] 麵包		15
break		[動詞] 斷裂;中斷;打破（記錄）; [名詞] 暫停		13
breakfast		[動詞] 吃早餐; 為...供應早餐; [名詞] 早餐		10
bridge		[動詞] 架橋於;把...連結(或彌合)起來; [名詞] 橋		8
bright		[形容詞] 光亮的; [副詞] 明亮地;歡快地		14
bring		[動詞] 帶來		40
brother		[名詞] 兄;弟		43
brown		[形容詞] 褐色的;棕色的; [動詞] 變成褐色(或棕色); [名詞] 棕色		14
brush		[動詞] 刷; [名詞] 刷子		5
bug		[動詞] 在...安裝竊聽器;煩擾;激怒; [名詞] 小蟲		2
build		[動詞] 建造;蓋		25
bun		[名詞] 小圓麵包		
burger		[名詞] 漢堡牛肉餅		
burn		[動詞] 燒;燙傷; [名詞] 灼傷		7
bus		[動詞] 用公車運送; [名詞] 公車		40
business		[名詞] 商業;事		34
businessman		[名詞] 商人		4
busy		[形容詞] 忙碌的; [動詞] 使忙於		26
