字詞		中文釋義		考題
absent		[形容詞] 缺席的,不在場的; [動詞] 缺席		
accept		[動詞] 接受		
accident		[名詞] 事故;災禍		5
active		[形容詞] 活躍的		4
activity		[名詞] 活動		5
add		[動詞] 添加		
address		[動詞] 寫上收件人姓名地址;向...致詞; [名詞] 地址; 演說		1
admire		[動詞] 欽佩;欣賞		
adult		[形容詞] 成年的;成熟的;色情的; [名詞] 成年人		
advertisement		[名詞] 廣告		
advice		[名詞] 忠告		4
advise		[動詞] 勸告		
affect		[動詞] 影響；感染；打動		
against		[介系詞] 反對		
aim		[動詞] 瞄準,對準; [名詞] 目標,目的		
air conditioner		[名詞] 冷氣機		
airlines		[名詞] 航線, 航空公司		
alarm		[動詞] 向...報警;使驚慌不安; [名詞] 警鈴;警報;驚慌		
album		[名詞] 相簿;集郵簿;唱片集		
alike		[形容詞] 相似的; [副詞] 一樣地,相似地		1
alive		[形容詞] 活著的;活躍的		
alone		[形容詞] 單獨的;孤單的; [副詞] 單獨地;獨自地		5
aloud		[副詞] 大聲地		
alphabet		[名詞] 字母		
altogether		[副詞] 完全地;總共		1
ambulance		[名詞] 救護車		
among		[介系詞] 在...之中		
amount		[動詞] 合計,共計; [名詞] 總數		
ancient		[形容詞] 古代的		
angel		[名詞] 天使		1
anger		[名詞] 生氣		
ankle		[名詞] 腳踝		
anywhere		[副詞] 任何地方		
apologize		[動詞] 道歉		
appreciate		[動詞] 感謝;賞識		
argue		[動詞] 爭論		
armchair		[名詞] 扶手椅子		
army		[名詞] 軍隊;大群		
arrange		[動詞] 排列;整理		
artist		[名詞] 藝術家		2
asleep		[形容詞] 睡著的		2
assistant		[形容詞] 助理的;輔助的;有幫助的; [名詞] 助手		1
assume		[動詞] 假定		
attention		[名詞] 注意;專心		
available		[形容詞] 可用的,可得到的,有效的		
avoid		[動詞] 避免		7
baby sitter		[名詞] 替人看小孩者		
backpack		[動詞] 把...放入背包; 背負簡便行李旅行; [名詞] 背包		
backward		[形容詞] 向後的;落後的; [副詞] 向後地;落後地		
ball		[動詞] 使成球形; 呈球狀; [名詞] 球		10
balloon		[動詞] 像氣球般鼓起(或膨脹);乘氣球上升;激增; [名詞] 汽球		
barbecue		[動詞] (在戶外)烤,炙(肉類); [名詞] 烤肉		1
barber		[名詞] 男理髮師		
bark		[動詞] 狗叫;咆哮; [名詞] 狗吠聲;樹皮		1
base		[動詞] 以...為基地; [名詞] 基;底;基部		
basement		[名詞] 地下室		
basic		[形容詞] 基本的		
bathe		[動詞] 洗澡		
beard		[名詞] 鬍子		
beat		[動詞] 擊敗;敲擊; [名詞] 敲打;敲擊聲;心跳聲;滴答聲;拍子		
beauty		[名詞] 美貌;美人		1
beer		[名詞] 啤酒		1
beginner		[名詞] 新手		
behave		[動詞] 舉動;守規矩		
besides		[副詞] 並且; [介系詞] 除...之外		7
beyond		[副詞] 在更遠處; [介系詞] 越出;在...那一邊		
bill		[動詞] 記入帳; [名詞] 帳單; 鈔票		12
biology		[名詞] 生物學		
bitter		[形容詞] 苦的;嚴酷的		
blame		[動詞] 歸咎於; [名詞] 責備,指責;責任		
bless		[動詞] 祝福;保佑		
blood		[名詞] 血		
blouse		[名詞] 女裝短上衣		
board		[動詞] 上車;上船; [名詞] 木板;膳食;車上;船上; 董事會		1
bomb		[動詞] 轟炸,投彈;慘敗; [名詞] 炸彈		1
bone		[名詞] 骨頭		
bookcase		[名詞] 書架		
bother		[動詞] 煩擾; [名詞] 煩惱,麻煩;使人煩惱的人(或事物)		
bowling		[名詞] 保齡球運動		
branch		[動詞] 出枝;分支;分岔; [名詞] 樹枝;支部		1
brick		[名詞] 磚塊		
broad		[形容詞] 寬廣的		
broadcast		[動詞] 廣播; [名詞] 廣播;廣播節目;散佈;播種		
brunch		[名詞] 早午餐		
bucket		[名詞] 水桶		
buffet		[名詞] 自助餐		
bundle		[名詞] 捆;大量		
burst		[動詞] 爆開;闖入; [名詞] 爆炸;破裂;缺口		
cabbage		[名詞] 包心菜		
cable		[動詞] 發越洋電報; [名詞] 纜索;有線電視		
cafeteria		[名詞] 自助餐館		
cage		[動詞] 把...關進籠子;把...囚禁起來; [名詞] 鳥籠;獸籠		
calendar		[名詞] 日曆;月曆;行事曆		
calm		[形容詞] 寧靜的; [動詞] 變安靜;使鎮定; [名詞] 安靜;鎮定;平靜;無風		
campus		[名詞] 校園		
cancel		[動詞] 取消		
cancer		[名詞] 癌症		
captain		[名詞] 隊長;機長;艦長		
careless		[形容詞] 粗心的		
carpet		[動詞] 在...上鋪地毯;斥責; [名詞] 地毯		
carrot		[名詞] 胡蘿蔔		
cartoon		[動詞] 畫漫畫;畫草圖; [名詞] 卡通		1
cash		[動詞] 兌現; [名詞] 現款		
cause		[動詞] 導致,使發生,引起; [名詞] 原因;理由		
ceiling		[名詞] 天花板		
central		[形容詞] 中央的		2
century		[名詞] 一世紀		
cereal		[名詞] 麥片		
certain		[形容詞] 肯定的; [代名詞] 某幾個;某些		
channel		[動詞] 在...開水道;傳送; [名詞] 管道;頻道		1
character		[名詞] 特性;角色;(中文)字		1
charge		[動詞] 索價;充電; [名詞] 費用;充電		1
chart		[動詞] 繪製...的圖表;詳細計劃; [名詞] 圖表		3
chase		[動詞] 追; [名詞] 追逐;追擊		
chemistry		[名詞] 化學		
chess		[名詞] 西洋棋		1
childhood		[名詞] 幼時		
childish		[形容詞] 幼稚的		
childlike		[形容詞] 天真爛漫的		
chin		[名詞] 下巴		
chubby		[形容詞] 圓胖的		
classical		[形容詞] 古典的		
clever		[形容詞] 聰明伶俐的		
climate		[名詞] 氣候		1
closet		[名詞] 壁櫥;衣櫥		1
coach		[動詞] 訓練,指導,輔導;乘馬車旅行; [名詞] 教練		1
coast		[名詞] 海岸		
cockroach		[名詞] 蟑螂		
coin		[動詞] 鑄造(貨幣);創造,杜撰(新詞等); [名詞] 硬幣		
cola		[名詞] 可樂		2
college		[名詞] 學院;大學		
colorful		[形容詞] 富有色彩的		
command		[動詞] 命令;掌握; 指揮;控制; [名詞] 命令		
comment		[動詞] 評論; [名詞] 評論		1
company		[名詞] 公司		3
compare		[動詞] 比較		
complain		[動詞] 抱怨		
complete		[形容詞] 完整的；徹底的; [動詞] 完成		
concern		[動詞] 使擔心; [名詞] 關懷		
confident		[形容詞] 有信心的		
confuse		[動詞] 使迷惑		
congratulation		[名詞] 祝賀		
consider		[動詞] 考慮		
considerate		[形容詞] 體諒的		
contact lens		[名詞] 隱形眼鏡		
continue		[動詞] 繼續		
contract		[動詞] 締結;訂契約;承包;收縮; [名詞] 契約；合同		
control		[動詞] 控制; [名詞] 支配;控制;操縱裝置;指揮部		4
convenience store		[名詞] 便利商店		
conversation		[名詞] 會話		3
corn		[名詞] 玉米		
cotton		[名詞] 棉花		
cough		[動詞] 咳嗽; [名詞] 咳嗽		
couple		[動詞] 連接;結合;成婚;交配; [名詞] 一對		1
courage		[名詞] 勇氣		
court		[動詞] 向...獻殷勤;追求;引誘;求婚; [名詞] 法庭；(網球等的)場地		
cowboy		[名詞] 牛仔		1
crab		[名詞] 螃蟹		
